model_node,model,score,test_node,discrepancy,method,std,experiment,threshold,sample pair calculation
pi5,"SVR(C=100, epsilon=0.2, kernel='linear')",0.5450353308739737,pi2,18.921507760832174,OCSVM,False,2,0.9,False
pi5,"SVR(C=100, epsilon=0.2, kernel='linear')",0.5450353308739737,pi3,0.3160411919162084,OCSVM,False,2,1.0,False
pi5,"SVR(C=100, epsilon=0.2, kernel='linear')",0.5450353308739737,pi4,3.626906098562153,OCSVM,False,2,0.84,False
pi3,SVR(kernel='linear'),0.3350176872639836,pi4,4.215949132845296,OCSVM,False,2,0.87,False
pi3,SVR(kernel='linear'),0.3350176872639836,pi5,0.08763036225141685,OCSVM,False,2,0.55,False
pi2,LinearRegression(),0.7507258594004762,pi4,0.9231607186345838,OCSVM,False,2,0.84,False
pi2,LinearRegression(),0.7507258594004762,pi5,26.99370139776657,OCSVM,False,2,0.0,False
pi4,LinearRegression(),0.03973262744266015,pi2,0.4698209005514158,OCSVM,False,2,0.46,False
pi4,LinearRegression(),0.03973262744266015,pi3,6.508426855133522,OCSVM,False,2,0.08,False
pi4,LinearRegression(),0.03973262744266015,pi5,22.07488103230556,OCSVM,False,2,0.07,False
pi5,LinearRegression(),0.5490603117041633,pi2,18.747669948757714,OCSVM,False,2,0.9,False
pi5,LinearRegression(),0.5490603117041633,pi3,0.36929837822280154,OCSVM,False,2,1.0,False
pi5,LinearRegression(),0.5490603117041633,pi4,3.4428314544179326,OCSVM,False,2,0.84,False
pi3,LinearRegression(),0.3783378375482429,pi4,4.623972687671811,OCSVM,False,2,0.87,False
pi3,LinearRegression(),0.3783378375482429,pi5,0.6114808439836332,OCSVM,False,2,0.55,False
pi2,SVR(C=10),0.7756139348539213,pi4,0.6734582089370901,OCSVM,True,2,0.84,False
pi2,SVR(C=10),0.7756139348539213,pi5,27.364064926107584,OCSVM,True,2,0.0,False
pi4,"SVR(C=1, epsilon=0.2)",0.4756060042467323,pi2,6.14463210356158,OCSVM,True,2,0.46,False
pi4,"SVR(C=1, epsilon=0.2)",0.4756060042467323,pi3,7.495268719561148,OCSVM,True,2,0.08,False
pi4,"SVR(C=1, epsilon=0.2)",0.4756060042467323,pi5,11.603035134665566,OCSVM,True,2,0.07,False
pi5,"SVR(C=100, epsilon=0.01)",0.6304965005397507,pi2,18.606367009110368,OCSVM,True,2,0.9,False
pi5,"SVR(C=100, epsilon=0.01)",0.6304965005397507,pi3,2.76069306235037,OCSVM,True,2,1.0,False
pi5,"SVR(C=100, epsilon=0.01)",0.6304965005397507,pi4,2.7614321053796553,OCSVM,True,2,0.84,False
pi3,"SVR(C=1, epsilon=0.5)",0.5833340682417991,pi4,4.690106026798926,OCSVM,True,2,0.87,False
pi3,"SVR(C=1, epsilon=0.5)",0.5833340682417991,pi5,8.254370428100154,OCSVM,True,2,0.55,False
pi2,"SVR(C=0.1, epsilon=0.2, kernel='linear')",0.7438946504017827,pi4,0.922364014790136,OCSVM,True,2,0.84,False
pi2,"SVR(C=0.1, epsilon=0.2, kernel='linear')",0.7438946504017827,pi5,27.886784809846556,OCSVM,True,2,0.0,False
pi4,"SVR(C=0.1, epsilon=1, kernel='linear')",0.03868648136853259,pi2,0.4958407378090688,OCSVM,True,2,0.46,False
pi4,"SVR(C=0.1, epsilon=1, kernel='linear')",0.03868648136853259,pi3,6.704590313523083,OCSVM,True,2,0.08,False
