model_node,model,score,test_node,discrepancy,method,std,experiment,threshold
pi3,"SVR(C=100, epsilon=0, kernel='linear')",0.3801097533065182,pi4,4.6442275886109,OCSVM,True,2,0.85
pi4,"SVR(C=1, epsilon=0.5, kernel='linear')",0.006301473270801106,pi3,8.83652886869967,OCSVM,True,2,0.85
pi2,LinearRegression(),0.749143413755502,pi5,28.14537972727232,OCSVM,True,2,0.85
pi5,LinearRegression(normalize=True),0.7820209073283413,pi2,19.671917524954797,OCSVM,True,2,0.85
pi3,LinearRegression(),0.4072938187012173,pi4,4.94701051769311,OCSVM,True,2,0.85
pi4,LinearRegression(),0.01379200011465509,pi3,8.214806368241755,OCSVM,True,2,0.85
pi2,"SVR(C=100, epsilon=0.5)",0.7497412291849431,pi4,0.6068160406422148,OCSVM,False,2,0.75
pi4,"SVR(C=100, epsilon=1)",0.3005447700520477,pi2,23.569861720418164,OCSVM,False,2,0.75
pi4,"SVR(C=100, epsilon=1)",0.3005447700520477,pi5,20.420589667690503,OCSVM,False,2,0.75
pi5,SVR(C=100),0.9067391004816104,pi4,3.1639020930556447,OCSVM,False,2,0.75
pi2,"SVR(C=100, epsilon=1, kernel='linear')",0.7485388246695375,pi4,0.9853620960667224,OCSVM,False,2,0.75
pi4,"SVR(C=1e-05, epsilon=0, kernel='linear')",-0.007426541492572936,pi2,0.13837525198494438,OCSVM,False,2,0.75
pi4,"SVR(C=1e-05, epsilon=0, kernel='linear')",-0.007426541492572936,pi5,33.10040018802786,OCSVM,False,2,0.75
pi5,SVR(kernel='linear'),0.7706780236672943,pi4,3.9651299699526943,OCSVM,False,2,0.75
pi2,LinearRegression(),0.7491434620655991,pi4,0.9623622749230744,OCSVM,False,2,0.75
pi4,LinearRegression(),0.01379209351553401,pi2,0.423900857641069,OCSVM,False,2,0.75
pi4,LinearRegression(),0.01379209351553401,pi5,28.16507571918552,OCSVM,False,2,0.75
pi5,LinearRegression(normalize=True),0.7820211308014513,pi4,3.6749073961866445,OCSVM,False,2,0.75
pi2,SVR(C=100),0.7685871248481249,pi4,1.5124629306374187,OCSVM,True,2,0.75
pi4,"SVR(C=100, epsilon=0.2)",0.40200963162300574,pi2,200.04504761077445,OCSVM,True,2,0.75
pi4,"SVR(C=100, epsilon=0.2)",0.40200963162300574,pi5,196.82975552907948,OCSVM,True,2,0.75
pi5,"SVR(C=100, epsilon=0.01)",0.8978616939648464,pi4,3.1519963503893633,OCSVM,True,2,0.75
pi2,"SVR(C=0.1, epsilon=0.2, kernel='linear')",0.741891776275809,pi4,0.937253608458883,OCSVM,True,2,0.75
pi4,"SVR(C=1, epsilon=0.5, kernel='linear')",0.006301473270801106,pi2,0.4568716519393974,OCSVM,True,2,0.75
pi4,"SVR(C=1, epsilon=0.5, kernel='linear')",0.006301473270801106,pi5,29.503393599665497,OCSVM,True,2,0.75
pi5,"SVR(C=0.1, epsilon=0.2, kernel='linear')",0.7814906996627433,pi4,3.612054437811067,OCSVM,True,2,0.75
pi2,LinearRegression(),0.749143413755502,pi4,0.9623619365009088,OCSVM,True,2,0.75
pi4,LinearRegression(),0.01379200011465509,pi2,0.4239009338910046,OCSVM,True,2,0.75
pi4,LinearRegression(),0.01379200011465509,pi5,28.165080573923813,OCSVM,True,2,0.75
pi5,LinearRegression(normalize=True),0.7820209073283413,pi4,3.674909264134717,OCSVM,True,2,0.75
pi3,"SVR(C=0.1, epsilon=0.2)",0.09675007777992994,pi4,0.1187523012646099,MMD,False,3,-
pi4,"SVR(C=100, epsilon=0.01)",0.9891872002956699,pi3,1.7011531881626218,MMD,False,3,-
pi3,"SVR(C=100, epsilon=0.2, kernel='linear')",0.03685838905056349,pi4,0.3961066634942537,MMD,False,3,-
pi4,"SVR(C=0.1, kernel='linear')",0.9853891137071306,pi3,2.9414453162688554,MMD,False,3,-
pi3,LinearRegression(),0.03718994962363564,pi4,0.36866071598102335,MMD,False,3,-
pi4,LinearRegression(normalize=True),0.9853965132028861,pi3,2.9047975369654258,MMD,False,3,-
pi3,"SVR(C=0.01, epsilon=0.01)",0.0433114539104279,pi4,0.06393311119723888,MMD,True,3,-
pi4,SVR(),0.988117476207792,pi3,1.38911231847782,MMD,True,3,-
pi3,"SVR(C=0.1, epsilon=0.01, kernel='linear')",0.019343765193196583,pi4,0.10477841567366353,MMD,True,3,-
pi4,SVR(kernel='linear'),0.9853827931753818,pi3,2.8392076725676354,MMD,True,3,-
pi3,LinearRegression(),0.03718993568075368,pi4,0.3686607415186114,MMD,True,3,-
pi4,LinearRegression(),0.9853965050210113,pi3,2.9047914955063527,MMD,True,3,-
pi2,"SVR(C=10, epsilon=0.2)",0.946457517258858,pi4,2.8016139959061443,OCSVM,False,3,0.45
pi4,"SVR(C=100, epsilon=0.01)",0.9891872002956699,pi2,0.9655729446518809,OCSVM,False,3,0.45
pi4,"SVR(C=100, epsilon=0.01)",0.9891872002956699,pi3,1.7011531881626218,OCSVM,False,3,0.45
pi3,"SVR(C=0.1, epsilon=0.2)",0.09675007777992994,pi4,0.1187523012646099,OCSVM,False,3,0.45
pi2,"SVR(C=100, epsilon=0.2, kernel='linear')",0.9462838722007363,pi4,0.048611699382247076,OCSVM,False,3,0.45
pi4,"SVR(C=0.1, kernel='linear')",0.9853891137071306,pi2,0.07168146732192393,OCSVM,False,3,0.45
pi4,"SVR(C=0.1, kernel='linear')",0.9853891137071306,pi3,2.9414453162688554,OCSVM,False,3,0.45
pi3,"SVR(C=100, epsilon=0.2, kernel='linear')",0.03685838905056349,pi4,0.3961066634942537,OCSVM,False,3,0.45
pi2,LinearRegression(),0.9464502094075565,pi4,0.039299133386589746,OCSVM,False,3,0.45
pi4,LinearRegression(normalize=True),0.9853965132028861,pi2,0.07444200994631867,OCSVM,False,3,0.45
pi4,LinearRegression(normalize=True),0.9853965132028861,pi3,2.9047975369654258,OCSVM,False,3,0.45
pi3,LinearRegression(),0.03718994962363564,pi4,0.36866071598102335,OCSVM,False,3,0.45
pi2,SVR(),0.9485709268194056,pi4,2.5618880805200908,OCSVM,True,3,0.45
pi4,SVR(),0.988117476207792,pi2,1.44605050275369,OCSVM,True,3,0.45
pi4,SVR(),0.988117476207792,pi3,1.38911231847782,OCSVM,True,3,0.45
pi3,"SVR(C=0.01, epsilon=0.01)",0.0433114539104279,pi4,0.06393311119723888,OCSVM,True,3,0.45
pi2,"SVR(C=100, epsilon=0.2, kernel='linear')",0.9453791435603234,pi4,0.0614020645399711,OCSVM,True,3,0.45
pi4,SVR(kernel='linear'),0.9853827931753818,pi2,0.07513027010312467,OCSVM,True,3,0.45
pi4,SVR(kernel='linear'),0.9853827931753818,pi3,2.8392076725676354,OCSVM,True,3,0.45
pi3,"SVR(C=0.1, epsilon=0.01, kernel='linear')",0.019343765193196583,pi4,0.10477841567366353,OCSVM,True,3,0.45
pi2,LinearRegression(),0.9464502290250842,pi4,0.039298905105989435,OCSVM,True,3,0.45
pi4,LinearRegression(),0.9853965050210113,pi2,0.0744421863833018,OCSVM,True,3,0.45
pi4,LinearRegression(),0.9853965050210113,pi3,2.9047914955063527,OCSVM,True,3,0.45
pi3,LinearRegression(),0.03718993568075368,pi4,0.3686607415186114,OCSVM,True,3,0.45
pi4,"SVR(C=100, epsilon=0.01)",0.9891872002956699,pi3,1.7011531881626218,MMD OCSVM Verify,False,3,0.45
pi3,"SVR(C=0.1, epsilon=0.2)",0.09675007777992994,pi4,0.1187523012646099,MMD OCSVM Verify,False,3,0.45
pi4,"SVR(C=0.1, kernel='linear')",0.9853891137071306,pi3,2.9414453162688554,MMD OCSVM Verify,False,3,0.45
pi3,"SVR(C=100, epsilon=0.2, kernel='linear')",0.03685838905056349,pi4,0.3961066634942537,MMD OCSVM Verify,False,3,0.45
pi4,LinearRegression(normalize=True),0.9853965132028861,pi3,2.9047975369654258,MMD OCSVM Verify,False,3,0.45
pi3,LinearRegression(),0.03718994962363564,pi4,0.36866071598102335,MMD OCSVM Verify,False,3,0.45
pi4,SVR(),0.988117476207792,pi3,1.38911231847782,MMD OCSVM Verify,True,3,0.45
pi3,"SVR(C=0.01, epsilon=0.01)",0.0433114539104279,pi4,0.06393311119723888,MMD OCSVM Verify,True,3,0.45
pi4,SVR(kernel='linear'),0.9853827931753818,pi3,2.8392076725676354,MMD OCSVM Verify,True,3,0.45
pi3,"SVR(C=0.1, epsilon=0.01, kernel='linear')",0.019343765193196583,pi4,0.10477841567366353,MMD OCSVM Verify,True,3,0.45
pi4,LinearRegression(),0.9853965050210113,pi3,2.9047914955063527,MMD OCSVM Verify,True,3,0.45
pi3,LinearRegression(),0.03718993568075368,pi4,0.3686607415186114,MMD OCSVM Verify,True,3,0.45
